Date,Description,Amount
2024-01-02,ADP PAYROLL,12500.00
2024-01-03,WEWORK NYC,3200.00
2024-01-04,GOOGLE ADS,2200.00
2024-01-05,META PLATFORMS,1800.00
2024-01-06,JANE SMITH CONSULTING,1800.00
2024-01-07,AMAZON WEB SERVICES,312.00
2024-01-08,SLACK TECHNOLOGIES,87.50
2024-01-09,NOTION LABS,24.00
2024-01-10,THE CAPITAL GRILLE,284.00
2024-01-11,DELTA AIR LINES,640.00
2024-01-11,MARRIOTT INTL,398.00
2024-01-12,MARK LEE INVOICE,3500.00
2024-01-14,ADOBE INC,599.00
2024-01-15,ADP PAYROLL,12500.00
2024-01-15,STAPLES INC,143.22
2024-01-16,JPMORGAN WIRE FEE,35.00
2024-01-17,LINKEDIN CORP,159.99
2024-01-18,SARA OKONKWO,2200.00
2024-01-19,ZOOM VIDEO,166.50
2024-01-21,NOBU RESTAURANT,412.00
2024-01-22,GOOGLE LLC,120.00
2024-01-22,UBER TECHNOLOGIES,67.40
2024-01-23,FEDEX CORP,28.50
2024-01-24,HUBSPOT INC,890.00
2024-01-25,COMCAST BUSINESS,189.00
2024-01-26,AMEX ANNUAL FEE,250.00
2024-01-28,CHIPOTLE MEXICAN GRILL,98.75
2024-01-29,ADP PAYROLL,12500.00
2024-01-30,AMAZON MARKETPLACE,54.32
2024-01-31,DROPBOX INC,75.00
2024-01-31,BANK SERVICE CHARGE,18.00
2024-01-15,UNKNOWN CHARGE - REVIEW,199.00
